Country,Year,Unemployment Rate,Educational Level
Hungary,2017,1.6,Level 5-8
Malta,2017,2,Level 5-8
Netherlands,2017,2.9,Level 5-8
Austria,2017,3.2,Level 5-8
Poland,2017,2.5,Level 5-8
Portugal,2017,6.5,Level 5-8
Romania,2017,2.4,Level 5-8
Slovenia,2017,5.3,Level 5-8
Slovakia,2017,4.2,Level 5-8
Finland,2017,5.3,Level 5-8
Sweden,2017,4.1,Level 5-8
Iceland,2017,1.7,Level 5-8
Norway,2017,2.5,Level 5-8
Switzerland,2017,3.9,Level 5-8
United Kingdom,2017,2.8,Level 5-8
Bosnia and Herzegovina,2017,,Level 5-8
Montenegro,2017,11.2,Level 5-8
North Macedonia,2017,18.8,Level 5-8
Serbia,2017,12.4,Level 5-8
Türkiye,2017,12.5,Level 5-8
