Country,Year,Population Percent,Educational Level,Income,Employment Rate (%)
Norway,2018,37.5,Level 5-8,49769.0,87.5
Switzerland,2018,37.7,Level 5-8,61333.0,88.4
Montenegro,2018,20.3,Level 5-8,6300.0,78.6
North Macedonia,2018,17.6,Level 5-8,4072.0,74.8
Serbia,2018,20.4,Level 5-8,4502.0,77.4
Türkiye,2018,17.3,Level 5-8,9392.0,71.7
Belgium,2019,36,Level 5-8,33190,83.8
Bulgaria,2019,24.7,Level 5-8,10030,88.5
Czechia,2019,21.6,Level 5-8,14905,84.9
Denmark,2019,33.4,Level 5-8,39884,87.2
Germany,2019,26,Level 5-8,32907,88
Estonia,2019,34.7,Level 5-8,16813,87.6
Ireland,2019,40.7,Level 5-8,34950,85.1
Greece,2019,27.8,Level 5-8,12619,74.6
Spain,2019,35.1,Level 5-8,23035,80.3
France,2019,33.8,Level 5-8,32819,83.8
Croatia,2019,22.1,Level 5-8,11517,82
Italy,2019,17.5,Level 5-8,26854,79.3
Cyprus,2019,40.5,Level 5-8,25803,83.4
Latvia,2019,31.4,Level 5-8,14287,88.6
Lithuania,2019,37.9,Level 5-8,13262,90.8
Luxembourg,2019,41,Level 5-8,53891,84.7
Hungary,2019,22.5,Level 5-8,9075,89.4
Malta,2019,27,Level 5-8,25631,86.6
Netherlands,2019,34.8,Level 5-8,33622,87.9
Austria,2019,31.1,Level 5-8,34302,85.2
Poland,2019,28.6,Level 5-8,11218,88.5
Portugal,2019,23.9,Level 5-8,17066,85.6
Romania,2019,16,Level 5-8,8117,88.9
Slovenia,2019,29.3,Level 5-8,19234,88.1
Slovakia,2019,23.1,Level 5-8,10585,85.9
Finland,2019,38.5,Level 5-8,35692,86.2
Sweden,2019,37.8,Level 5-8,32825,88.4
Iceland,2019,37.7,Level 5-8,45079,91.6
Norway,2019,37.7,Level 5-8,50143,88.2
Switzerland,2019,38.6,Level 5-8,58701,89
Montenegro,2019,21.8,Level 5-8,6328,77.8
North Macedonia,2019,18.3,Level 5-8,4219,77.5
Serbia,2019,20.6,Level 5-8,5438,79.4
Türkiye,2019,18.4,Level 5-8,7566,70.8
Belgium,2020,37.6,Level 5-8,34903,83.3
Bulgaria,2020,25.8,Level 5-8,10380,87.5
Czechia,2020,22.1,Level 5-8,15926,83.9
Denmark,2020,33.7,Level 5-8,39720,87.1
Germany,2020,27.2,Level 5-8,40036,86.6
Estonia,2020,35.2,Level 5-8,17849,85.8
Ireland,2020,42.8,Level 5-8,36968,82.8
Greece,2020,28.5,Level 5-8,13372,71.9
Spain,2020,36,Level 5-8,23466,78.2
France,2020,35.3,Level 5-8,33040,83.1
Croatia,2020,22.3,Level 5-8,12198,83.6
Italy,2020,17.8,Level 5-8,27875,77.9
Cyprus,2020,41,Level 5-8,25134,83.4
Latvia,2020,33.2,Level 5-8,14994,85.7
Lithuania,2020,38.7,Level 5-8,15089,89.5
Luxembourg,2020,40.9,Level 5-8,56451,83.2
Hungary,2020,23.6,Level 5-8,10144,89.7
Malta,2020,28.2,Level 5-8,28830,87.5
Netherlands,2020,36.6,Level 5-8,35830,87.7
Austria,2020,31.3,Level 5-8,35927,84.5
Poland,2020,29.3,Level 5-8,12244,88.4
Portugal,2020,24.8,Level 5-8,17931,84.2
Romania,2020,16.2,Level 5-8,8632,88.6
Slovenia,2020,31.5,Level 5-8,19931,87.8
Slovakia,2020,23.9,Level 5-8,10910,85.6
Finland,2020,39.8,Level 5-8,36719,86.4
Sweden,2020,38.3,Level 5-8,32536,87.6
Iceland,2020,36.8,Level 5-8,:,88.7
Norway,2020,38.8,Level 5-8,50553,87.9
Switzerland,2020,39.3,Level 5-8,62195,88.5
Montenegro,2020,21.8,Level 5-8,6423,73.5
North Macedonia,2020,20,Level 5-8,4556,78.1
Serbia,2020,21,Level 5-8,6355,78.8
Türkiye,2020,19.7,Level 5-8,8047,68
Belgium,2021,39.7,Level 5-8,34518,84.1
Bulgaria,2021,26.1,Level 5-8,11533,88.6
Czechia,2021,23.4,Level 5-8,16182,84.8
Denmark,2021,34.8,Level 5-8,40856,87.3
Germany,2021,28,Level 5-8,39748,87.9
Estonia,2021,36,Level 5-8,18257,87.1
Ireland,2021,45.4,Level 5-8,39877,84.9
Greece,2021,30.1,Level 5-8,13336,75.2
Spain,2021,36.2,Level 5-8,23312,79.6
France,2021,36.3,Level 5-8,34390,84.3
Croatia,2021,22.3,Level 5-8,12755,84.7
Italy,2021,17.8,Level 5-8,27991,79.2
Cyprus,2021,42.8,Level 5-8,25101,83.8
Latvia,2021,34.2,Level 5-8,15964,85.7
Lithuania,2021,39.8,Level 5-8,16623,89.3
Luxembourg,2021,44.5,Level 5-8,57559,84.1
Hungary,2021,25.5,Level 5-8,10200,89.9
Malta,2021,29.6,Level 5-8,30388,88.3
Netherlands,2021,37.5,Level 5-8,36658,88.4
Austria,2021,31.8,Level 5-8,35797,84.9
Poland,2021,29.4,Level 5-8,12308,90
Portugal,2021,26.2,Level 5-8,18408,85.8
Romania,2021,16.4,Level 5-8,9697,88.4
Slovenia,2021,35.4,Level 5-8,20047,88.5
Slovakia,2021,24.7,Level 5-8,10627,85.4
Finland,2021,35.5,Level 5-8,36090,87.3
Sweden,2021,39.6,Level 5-8,33731,88.2
Iceland,2021,35.8,Level 5-8,:,88.7
Norway,2021,40.6,Level 5-8,45191,88.3
Switzerland,2021,39.2,Level 5-8,66754,88.7
Montenegro,2021,:,Level 5-8,6362,:
North Macedonia,2021,:,Level 5-8,:,:
Serbia,2021,22,Level 5-8,7146,81.4
Türkiye,2021,20.4,Level 5-8,6768,69.6
Belgium,2022,40.2,Level 5-8,36330,85.1
Bulgaria,2022,26.3,Level 5-8,11223,89.8
Czechia,2022,23.5,Level 5-8,18394,86.2
Denmark,2022,35,Level 5-8,42937,88.2
Germany,2022,27.9,Level 5-8,38574,88.7
Estonia,2022,36.7,Level 5-8,21688,88.2
Ireland,2022,46.1,Level 5-8,41042,87.1
Greece,2022,30.5,Level 5-8,14502,78.5
Spain,2022,36.5,Level 5-8,24692,81.2
France,2022,36.9,Level 5-8,34896,84.8
Croatia,2022,22.8,Level 5-8,13719,85.1
Italy,2022,18.1,Level 5-8,29133,80.6
Cyprus,2022,44,Level 5-8,25744,85.1
Latvia,2022,34.5,Level 5-8,17123,86.6
Lithuania,2022,41.3,Level 5-8,17880,89.7
Luxembourg,2022,46,Level 5-8,59672,85.1
Hungary,2022,25.6,Level 5-8,10420,91.4
Malta,2022,29.4,Level 5-8,32688,89.4
Netherlands,2022,38.8,Level 5-8,37750,89.1
Austria,2022,32.5,Level 5-8,36382,85.9
Poland,2022,30,Level 5-8,13265,90.4
Portugal,2022,26.8,Level 5-8,17912,87.2
Romania,2022,17.1,Level 5-8,10256,89.5
Slovenia,2022,35.1,Level 5-8,21588,89.6
Slovakia,2022,26,Level 5-8,10888,86.9
Finland,2022,35.9,Level 5-8,37601,88.1
Sweden,2022,41.1,Level 5-8,34993,89.5
Iceland,2022,36.4,Level 5-8,:,91.7
Norway,2022,41.1,Level 5-8,50501,88.9
Switzerland,2022,39,Level 5-8,67348,88.7
Montenegro,2022,:,Level 5-8,6986,:
North Macedonia,2022,:,Level 5-8,:,:
Serbia,2022,22.6,Level 5-8,7662,84.4
Türkiye,2022,21,Level 5-8,7084,71.2
Belgium,2023,39.1,Level 5-8,38288,85.8
Bulgaria,2023,26.7,Level 5-8,13797,90.2
Czechia,2023,23.5,Level 5-8,20363,86.5
Denmark,2023,35.5,Level 5-8,43775,88.4
Germany,2023,29,Level 5-8,40956,88.3
Estonia,2023,36,Level 5-8,22116,89.7
Ireland,2023,46.6,Level 5-8,43229,87.4
Greece,2023,29.9,Level 5-8,15592,79.1
Spain,2023,37.1,Level 5-8,26593,82
France,2023,37.6,Level 5-8,36479,85.1
Croatia,2023,24.9,Level 5-8,15731,86.5
Italy,2023,19.2,Level 5-8,29982,81.6
Cyprus,2023,46,Level 5-8,27368,85.4
Latvia,2023,34,Level 5-8,18414,87.5
Lithuania,2023,41,Level 5-8,19460,89.4
Luxembourg,2023,45.7,Level 5-8,67143,84.5
Hungary,2023,25.8,Level 5-8,12071,91.4
Malta,2023,30.8,Level 5-8,33485,89.8
Netherlands,2023,38.4,Level 5-8,39121,89.5
Austria,2023,33.6,Level 5-8,42283,85.8
Poland,2023,33.2,Level 5-8,14548,90.7
Portugal,2023,27.1,Level 5-8,20310,87.6
Romania,2023,16.1,Level 5-8,11844,89.8
Slovenia,2023,29.8,Level 5-8,23542,89.8
Slovakia,2023,25.8,Level 5-8,10722,87.9
Finland,2023,35.7,Level 5-8,38662,88.2
Sweden,2023,41.9,Level 5-8,35269,89.5
Iceland,2023,37.5,Level 5-8,:,90.8
Norway,2023,41.9,Level 5-8,51556,88.2
Switzerland,2023,40.2,Level 5-8,72129,89
Montenegro,2023,:,Level 5-8,:,:
North Macedonia,2023,:,Level 5-8,:,:
Serbia,2023,23.3,Level 5-8,:,84.5
Türkiye,2023,21.8,Level 5-8,7418,72.8
